"Total calls:","173040"
"Total drops:","9668"
"Desired drop rate:","3.00 %"
"Total blocking/drop rate:","5.59"
"Desired sale rate:","0.00 %"
"Actual sale rate:","1.49"
"Average call duration:","13.99 seconds"
"Erlangs:","1.7555"
"Estimated agents fielding calls:","5"
"Recommended agent count:","1"

"CALLING HOUR","CALLS","SALES","TOTAL TIME","AVG TIME","DROPPED HRS","BLOCKING","ERLANGS","REC AGENTS","EST AGENTS","CALLS/AGNT","REV/CALL","REV/AGENT","TOTAL REV","TOTAL COST","MARGIN"
"2026-02-11 12pm","534","15","2:25:08","0:00:16","0:06:23","0.1442","2.3733","1","4","133.50","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-11 01pm","793","27","3:41:05","0:00:17","0:06:04","0.0921","3.7447","1","7","113.29","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-11 02pm","1163","31","4:08:21","0:00:13","0:05:38","0.0585","4.1997","1","8","145.38","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-11 03pm","668","17","2:48:21","0:00:15","0:05:35","0.1003","2.7833","1","5","133.60","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-11 04pm","840","23","3:15:24","0:00:14","0:05:40","0.0810","3.2667","1","6","140.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-11 05pm","461","3","1:22:07","0:00:11","0:02:45","0.0716","1.4086","1","4","115.25","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-11 06pm","27","1","0:05:37","0:00:12","0:00:50","0.3704","0.0900","1","1","27.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-11 07pm","189","1","0:42:34","0:00:14","0:03:45","0.2381","0.7350","1","2","94.50","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-11 08pm","162","2","0:32:51","0:00:12","0:02:30","0.1914","0.5400","1","2","81.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-11 09pm","53","0","0:16:32","0:00:19","0:00:55","0.2075","0.2797","1","2","26.50","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-12 07am","1","0","0:00:35","0:00:35","0:00:00","0.0000","0.0097","1","1","1.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-12 08am","85","7","0:26:13","0:00:19","0:00:05","0.0118","0.4486","1","3","28.33","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-12 09am","324","21","1:52:03","0:00:21","0:01:30","0.0432","1.8900","1","5","64.80","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-12 10am","764","10","3:12:35","0:00:15","0:05:03","0.0798","3.1833","1","6","127.33","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-12 11am","837","7","4:06:44","0:00:18","0:05:42","0.0824","4.1850","1","7","119.57","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-12 12pm","517","7","2:28:24","0:00:17","0:06:46","0.1586","2.4414","1","4","129.25","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-12 01pm","982","10","4:17:48","0:00:16","0:04:59","0.0611","4.3644","1","8","122.75","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-12 02pm","1062","12","4:15:03","0:00:14","0:08:17","0.0913","4.1300","1","7","151.71","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-12 03pm","1305","7","4:43:24","0:00:13","0:05:26","0.0421","4.7125","1","9","145.00","$0.00","$0.00","$0.00","$0.00","$0.00"
